gvkey	year	gvkey	year	Y	K	L	M	VA	i	naics_4digit
012915	2008	012915	2008	68.00175972150494	39.20366487373507	0.287	64.69386584036265	3.307893881142299	2.6297460797580188	3254
012915	2009	012915	2009	77.026	41.78231461511535	0.28	63.036559999999994	13.989440000000002	1.2	3254
012915	2010	012915	2010	70.7989240715398	41.906642410258684	0.231	58.58005190882922	12.218872162710584	2.0673204346673733	3254
012915	2011	012915	2011	70.33845889528392	44.16625992811821	0.308	55.54962632076283	14.788832574521084	2.396578776166239	3254
012915	2012	012915	2012	73.83492656022733	45.669427191166314	0.312	65.53606241750111	8.298864142726222	1.8916361387761984	3254
012915	2013	012915	2013	80.64489154248825	45.501788624552844	0.293	79.39651296974563	1.2483785727426278	2.2835412512173634	3254
012915	2014	012915	2014	88.4046899392168	46.323	0.32	74.98810907762314	13.416580861593648	2.725994466367306	3254
012917	1998	012917	1998	0.2843259669339431	0.8151224624461437	0.013	1.0455267552239254	-0.7612007882899822	0.009481593855927182	3254
012917	1999	012917	1999	0.3867312218008485	0.7918945798110393	0.012	1.1726470103278221	-0.7859157885269737	0.002352553697038135	3254
012917	2000	012917	2000	0.5499842861632525	0.7943809050223769	0.012	1.3678580611982516	-0.817873775034999	0.027539358332950844	3254
012917	2001	012917	2001	0.9914236223577293	0.6228195174684291	0.014	1.2807306116126127	-0.28930698925488335	0.0	3254
012924	1998	012924	1998	67.62807342408182	36.82181772375134	0.837	41.491085704774434	26.136987719307374	3.3084198221812904	3342
012924	1999	012924	1999	69.01933008705917	40.16979333868379	0.803	43.589804928434404	25.429525158624767	2.4366359447004613	3342
012938	2013	012938	2013	1249.872980388172	332.7430873110078	3.3	1009.690241506622	240.18273888155002	14.21113963865809	3312
012942	2008	012942	2008	0.16067022436449188	0.10538226028309004	0.011	9.886574472561733	-9.725904248197242	0.0	3254
012944	1998	012944	1998	47.70068607511977	49.227048212958785	1.051	24.202228833880365	23.498457241239404	0.6883685782768352	3345
012944	1999	012944	1999	52.97506271211451	49.13348289399888	0.943	24.5597090157887	28.415353696325802	0.8248847926267281	3345
012944	2000	012944	2000	48.3084232406216	45.58772000754696	0.887	17.94650301890528	30.36192022171632	1.5778198428981105	3345
012944	2001	012944	2001	54.2742877419164	46.965041373547876	0.849	24.110560048494172	30.16372769342223	2.57973309206062	3345
012944	2002	012944	2002	61.404958677685954	54.099339967654046	0.807	28.16538271414228	33.23957596354368	1.2070059793561894	3345
012944	2003	012944	2003	71.789097117769	55.58987658997858	0.767	34.58224155453473	37.20685556323427	1.7234358663952019	3345
012944	2004	012944	2004	94.43970721082002	51.59001682557487	0.991	40.963256984136365	53.47645022668366	3.7668521350556947	3345
012944	2005	012944	2005	127.96618319476137	54.145753083537606	1.246	59.222596410242964	68.7435867845184	12.435573147628775	3345
012945	1998	012945	1998	206.4025008712478	57.095054667133574	2.345	139.88704727624537	66.51545359500241	11.070572538462446	3344
012945	1999	012945	1999	290.6383355467021	65.67361592240347	3.15	184.7698686734543	105.86846687324777	20.963133640552996	3344
