ID	SEX	OCC	AGE	POB	HOURS	TERMS	COLLEGE	EARNMO	TOTEAR	COLYR	BOARD	DEP	PERIOD	BENESOC	INSUR	SAVINGS	IFDEBT	WHYDEBT	TEXTBK	OWNHM
101	1	1	21	10	6.00	3	-9	35.00	325.00	130.00	10.00	-9	5	-9	-9	-9	-9	-9	2	-9
102	1	1	26	10	6.00	8	-9	40.00	-9.00	300.00	10.00	4	4	-9	-9	-9	2	-9	2	-9
103	1	1	25	10	6.00	10	2	60.00	540.00	175.00	14.00	-9	4	-9	-9	2	-9	-9	2	-9
104	1	1	25	10	8.00	8	-9	-9.00	-9.00	160.00	12.00	-9	4	-9	-9	2	-9	-9	1	2
105	1	1	18	10	6.00	2	-9	37.00	175.00	-9.00	10.00	-9	4	-9	-9	2	-9	-9	1	2
106	1	1	26	10	8.00	7	2	75.00	500.00	300.00	16.00	1	4	-9	3	2	-9	-9	1	2
107	1	1	26	10	6.00	10	-9	45.00	-9.00	150.00	12.00	1	4	-9	-9	2	-9	-9	1	-9
108	1	2	48	10	6.00	40	2	110.00	1300.00	-9.00	-9.00	9	4	-9	3	-9	-9	-9	2	-9
109	1	1	24	10	6.00	1	-9	35.00	100.00	400.00	10.00	2	4	-9	-9	-9	2	-9	2	-9
110	1	1	24	10	6.00	3	-9	35.00	200.00	150.00	10.00	-9	4	-9	-9	2	-9	-9	4	2
111	1	1	23	10	6.00	6	-9	30.00	175.00	125.00	10.00	-9	2	-9	-9	2	-9	-9	2	2
112	1	3	30	10	6.00	12	2	100.00	1000.00	400.00	18.00	-9	4	2	3	2	-9	-9	1	-9
113	1	1	29	10	6.00	12	2	50.00	350.00	215.00	13.00	-9	4	-9	-9	2	-9	-9	2	-9
114	1	1	34	10	6.00	17	-9	37.50	200.00	-9.00	-9.00	-9	4	-9	1	2	-9	-9	2	-9
115	1	1	24	10	6.00	13	-9	45.00	405.00	200.00	15.00	2	4	-9	-9	2	-9	-9	2	-9
116	1	2	29	10	6.00	14	2	100.00	940.00	846.00	-9.00	3	4	-9	1	2	-9	-9	-9	-9
117	1	1	22	10	6.00	5	-9	32.50	200.00	100.00	11.33	-9	4	-9	1	2	-9	-9	2	-9
118	1	1	19	10	8.00	-8	2	35.00	-9.00	-9.00	20.00	-9	4	-9	3	-9	-9	-9	2	-9
119	1	1	24	10	7.00	9	-9	70.00	600.00	350.00	13.00	3	4	2	1	2	-9	-9	2	-9
120	1	1	56	10	6.00	46	2	55.00	550.00	-9.00	-9.00	5	4	-9	-9	-9	-9	-9	4	2
121	1	1	21	10	6.00	7	2	60.00	500.00	500.00	14.00	-9	4	2	-9	-9	-9	-9	1	-9
